session_id,node_count,edge_count,graph_density,max_out_degree,longest_path,unique_event_types,external_edge_count,encoded_command_count,outbound_bytes,suspicious_process_count,suspicious_relationship_count,has_external_path,label
SESSION-00042,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00043,4,3,0.25,1,3,3,0,0,40722,0,0,0,benign
SESSION-00044,7,6,0.14285714285714285,2,4,3,1,2,831129,3,3,1,attack
SESSION-00045,3,2,0.3333333333333333,2,1,2,0,0,21979,0,0,0,benign
SESSION-00046,6,5,0.16666666666666666,2,4,3,1,2,822536,3,3,1,attack
SESSION-00047,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,attack
SESSION-00048,3,2,0.3333333333333333,1,2,2,1,0,49162,0,0,0,benign
SESSION-00049,3,2,0.3333333333333333,2,1,2,0,0,21903,0,0,0,benign
SESSION-00050,3,2,0.3333333333333333,2,1,2,0,0,7951,0,0,0,benign
SESSION-00051,7,6,0.14285714285714285,2,4,3,1,2,857139,3,3,1,attack
SESSION-00052,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00053,4,3,0.25,1,3,3,1,0,14375,0,0,0,benign
SESSION-00054,4,3,0.25,2,2,2,0,0,33546,0,0,0,benign
SESSION-00055,6,5,0.16666666666666666,2,4,3,1,2,309023,3,3,1,attack
SESSION-00056,6,5,0.16666666666666666,2,4,3,1,2,188094,3,3,1,attack
SESSION-00057,3,2,0.3333333333333333,2,1,2,0,0,52659,0,0,0,benign
SESSION-00058,3,2,0.3333333333333333,2,1,2,0,0,9796,0,0,0,benign
SESSION-00059,3,2,0.3333333333333333,1,2,2,1,0,32780,0,0,0,benign
SESSION-00060,4,3,0.25,2,2,2,0,0,60262,0,0,0,benign
SESSION-00061,4,3,0.25,2,2,2,0,0,8671,0,0,0,benign
SESSION-00062,3,2,0.3333333333333333,1,2,2,1,0,39550,0,0,0,benign
SESSION-00063,4,3,0.25,1,3,3,0,0,51440,0,0,0,benign
SESSION-00064,7,6,0.14285714285714285,2,4,3,1,2,285420,3,3,1,attack
SESSION-00065,3,2,0.3333333333333333,1,2,2,0,0,60793,0,0,0,benign
SESSION-00066,3,2,0.3333333333333333,2,1,2,0,0,60367,0,0,0,benign
SESSION-00067,4,3,0.25,2,2,2,0,0,35454,0,0,0,benign
SESSION-00068,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00069,6,5,0.16666666666666666,2,4,3,1,2,373446,3,3,1,attack
SESSION-00070,4,3,0.25,1,3,3,1,0,59661,0,0,0,benign
SESSION-00071,7,6,0.14285714285714285,2,4,3,1,2,835195,3,3,1,attack
SESSION-00072,4,3,0.25,1,3,3,1,0,13002,0,0,0,attack
SESSION-00073,4,3,0.25,2,2,2,0,0,26798,0,0,0,benign
SESSION-00074,4,3,0.25,1,3,3,0,0,55621,0,0,0,benign
SESSION-00075,6,5,0.16666666666666666,2,4,3,1,2,267017,3,3,1,attack
SESSION-00076,7,6,0.14285714285714285,2,4,3,1,2,284497,3,3,1,benign
SESSION-00077,4,3,0.25,1,3,3,1,0,54507,0,0,0,benign
SESSION-00078,3,2,0.3333333333333333,2,1,2,0,0,55145,0,0,0,benign
SESSION-00079,3,2,0.3333333333333333,2,1,2,0,0,51107,0,0,0,benign
SESSION-00080,3,2,0.3333333333333333,2,1,2,0,0,35772,0,0,0,benign
SESSION-00081,3,2,0.3333333333333333,1,2,2,0,0,26260,0,0,0,benign
SESSION-00082,7,6,0.14285714285714285,2,4,3,1,2,435567,3,3,1,attack
SESSION-00083,7,6,0.14285714285714285,2,4,3,1,2,471859,3,3,1,attack
SESSION-00084,4,3,0.25,1,3,3,1,0,45201,0,0,0,benign
SESSION-00085,4,3,0.25,2,2,2,0,0,32297,0,0,0,benign
SESSION-00086,3,2,0.3333333333333333,2,1,2,0,0,43113,0,0,0,benign
SESSION-00087,3,2,0.3333333333333333,1,2,2,1,0,20153,0,0,0,benign
SESSION-00088,7,6,0.14285714285714285,2,4,3,1,2,492710,3,3,1,attack
SESSION-00089,4,3,0.25,2,2,2,0,0,41177,0,0,0,benign
SESSION-00090,3,2,0.3333333333333333,1,2,2,0,0,62476,0,0,0,benign
SESSION-00091,3,2,0.3333333333333333,2,1,2,0,0,64789,0,0,0,benign
SESSION-00092,7,6,0.14285714285714285,2,4,3,1,2,731994,3,3,1,attack
SESSION-00093,3,2,0.3333333333333333,1,2,2,1,0,37591,0,0,0,benign
SESSION-00094,3,2,0.3333333333333333,1,2,2,0,0,50127,0,0,0,benign
SESSION-00095,4,3,0.25,1,3,3,1,0,60667,0,0,0,benign
SESSION-00096,3,2,0.3333333333333333,2,1,2,0,0,43445,0,0,0,attack
SESSION-00097,3,2,0.3333333333333333,1,2,2,0,0,23019,0,0,0,benign
SESSION-00098,4,3,0.25,1,3,3,0,0,24944,0,0,0,benign
SESSION-00099,7,6,0.14285714285714285,2,4,3,1,2,150732,3,3,1,attack
SESSION-00100,3,2,0.3333333333333333,2,1,2,0,0,13087,0,0,0,benign
SESSION-00101,3,2,0.3333333333333333,2,1,2,0,0,10815,0,0,0,benign
SESSION-00102,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00103,3,2,0.3333333333333333,1,2,2,1,0,9681,0,0,0,benign
SESSION-00104,6,5,0.16666666666666666,2,4,3,1,2,158455,3,3,1,benign
SESSION-00105,7,6,0.14285714285714285,2,4,3,1,2,452540,3,3,1,attack
SESSION-00106,4,3,0.25,1,3,3,0,0,51221,0,0,0,benign
SESSION-00107,3,2,0.3333333333333333,1,2,2,0,0,19886,0,0,0,benign
SESSION-00108,6,5,0.16666666666666666,2,4,3,1,2,99652,3,3,1,attack
SESSION-00109,7,6,0.14285714285714285,2,4,3,1,2,625861,3,3,1,attack
SESSION-00110,7,6,0.14285714285714285,2,4,3,1,2,780564,3,3,1,attack
SESSION-00111,4,3,0.25,1,3,3,0,0,59294,0,0,0,benign
SESSION-00112,6,5,0.16666666666666666,2,4,3,1,2,109653,3,3,1,attack
SESSION-00113,6,5,0.16666666666666666,2,4,3,1,2,280803,3,3,1,attack
SESSION-00114,3,2,0.3333333333333333,1,2,2,1,0,55306,0,0,0,benign
SESSION-00115,7,6,0.14285714285714285,2,4,3,1,2,652459,3,3,1,attack
SESSION-00116,3,2,0.3333333333333333,2,1,2,0,0,41690,0,0,0,benign
SESSION-00117,7,6,0.14285714285714285,2,4,3,1,2,123481,3,3,1,attack
SESSION-00118,4,3,0.25,1,3,3,1,0,49213,0,0,0,benign
SESSION-00119,6,5,0.16666666666666666,2,4,3,1,2,581465,3,3,1,benign
SESSION-00120,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00121,3,2,0.3333333333333333,1,2,2,1,0,36209,0,0,0,benign
SESSION-00122,4,3,0.25,1,3,3,0,0,17642,0,0,0,benign
SESSION-00123,3,2,0.3333333333333333,2,1,2,0,0,18222,0,0,0,benign
SESSION-00124,7,6,0.14285714285714285,2,4,3,1,2,612371,3,3,1,attack
SESSION-00125,4,3,0.25,2,2,2,0,0,10447,0,0,0,benign
SESSION-00126,3,2,0.3333333333333333,1,2,2,0,0,40492,0,0,0,benign
SESSION-00127,3,2,0.3333333333333333,2,1,2,0,0,15710,0,0,0,benign
SESSION-00128,6,5,0.16666666666666666,2,4,3,1,2,324910,3,3,1,benign
SESSION-00129,6,5,0.16666666666666666,2,4,3,1,2,423088,3,3,1,attack
SESSION-00130,4,3,0.25,2,2,2,0,0,43103,0,0,0,benign
SESSION-00131,3,2,0.3333333333333333,1,2,2,1,0,29179,0,0,0,benign
SESSION-00132,3,2,0.3333333333333333,2,1,2,0,0,48412,0,0,0,benign
SESSION-00133,3,2,0.3333333333333333,1,2,2,0,0,34777,0,0,0,benign
SESSION-00134,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00135,7,6,0.14285714285714285,2,4,3,1,2,485196,3,3,1,attack
SESSION-00136,7,6,0.14285714285714285,2,4,3,1,2,479799,3,3,1,attack
SESSION-00137,6,5,0.16666666666666666,2,4,3,1,2,221855,3,3,1,benign
SESSION-00138,3,2,0.3333333333333333,1,2,2,0,0,11677,0,0,0,benign
SESSION-00139,6,5,0.16666666666666666,2,4,3,1,2,491430,3,3,1,attack
SESSION-00140,3,2,0.3333333333333333,2,1,2,0,0,50547,0,0,0,benign
SESSION-00141,4,3,0.25,1,3,3,0,0,23018,0,0,0,benign
SESSION-00142,3,2,0.3333333333333333,1,2,2,1,0,46824,0,0,0,benign
SESSION-00143,3,2,0.3333333333333333,1,2,2,1,0,14630,0,0,0,benign
SESSION-00144,7,6,0.14285714285714285,2,4,3,1,2,768037,3,3,1,attack
SESSION-00145,6,5,0.16666666666666666,2,4,3,1,2,113806,3,3,1,attack
SESSION-00146,6,5,0.16666666666666666,2,4,3,1,2,435698,3,3,1,attack
SESSION-00147,6,5,0.16666666666666666,2,4,3,1,2,237900,3,3,1,attack
SESSION-00148,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00149,6,5,0.16666666666666666,2,4,3,1,2,780379,3,3,1,attack
SESSION-00150,3,2,0.3333333333333333,1,2,2,0,0,40671,0,0,0,benign
SESSION-00151,3,2,0.3333333333333333,1,2,2,1,0,60677,0,0,0,benign
SESSION-00152,3,2,0.3333333333333333,2,1,2,0,0,25301,0,0,0,benign
SESSION-00153,3,2,0.3333333333333333,2,1,2,0,0,26205,0,0,0,benign
SESSION-00154,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00155,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00156,3,2,0.3333333333333333,1,2,2,1,0,40301,0,0,0,attack
SESSION-00157,4,3,0.25,2,2,2,0,0,37691,0,0,0,benign
SESSION-00158,3,2,0.3333333333333333,1,2,2,1,0,46949,0,0,0,benign
SESSION-00159,3,2,0.3333333333333333,2,1,2,0,0,43005,0,0,0,benign
SESSION-00160,4,3,0.25,2,2,2,0,0,31026,0,0,0,benign
SESSION-00161,3,2,0.3333333333333333,2,1,2,0,0,42929,0,0,0,benign
SESSION-00162,3,2,0.3333333333333333,2,1,2,0,0,11702,0,0,0,benign
SESSION-00163,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00164,6,5,0.16666666666666666,2,4,3,1,2,869868,3,3,1,attack
SESSION-00165,3,2,0.3333333333333333,2,1,2,0,0,17240,0,0,0,benign
SESSION-00166,6,5,0.16666666666666666,2,4,3,1,2,417492,3,3,1,attack
SESSION-00167,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00168,3,2,0.3333333333333333,1,2,2,1,0,60688,0,0,0,attack
SESSION-00169,3,2,0.3333333333333333,1,2,2,0,0,48611,0,0,0,benign
SESSION-00170,6,5,0.16666666666666666,2,4,3,1,2,686333,3,3,1,attack
SESSION-00171,6,5,0.16666666666666666,2,4,3,1,2,860408,3,3,1,benign
SESSION-00172,6,5,0.16666666666666666,2,4,3,1,2,501996,3,3,1,attack
SESSION-00173,4,3,0.25,2,2,2,0,0,55725,0,0,0,benign
SESSION-00174,3,2,0.3333333333333333,1,2,2,0,0,39190,0,0,0,benign
SESSION-00175,7,6,0.14285714285714285,2,4,3,1,2,790400,3,3,1,attack
SESSION-00176,3,2,0.3333333333333333,1,2,2,1,0,28767,0,0,0,benign
SESSION-00177,7,6,0.14285714285714285,2,4,3,1,2,742093,3,3,1,attack
SESSION-00178,3,2,0.3333333333333333,2,1,2,0,0,46155,0,0,0,benign
SESSION-00179,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00180,4,3,0.25,2,2,2,0,0,24104,0,0,0,benign
SESSION-00181,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00182,3,2,0.3333333333333333,2,1,2,0,0,49373,0,0,0,benign
SESSION-00183,7,6,0.14285714285714285,2,4,3,1,2,396784,3,3,1,attack
SESSION-00184,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00185,4,3,0.25,1,3,3,1,0,20861,0,0,0,benign
SESSION-00186,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00187,3,2,0.3333333333333333,2,1,2,0,0,38856,0,0,0,benign
SESSION-00188,3,2,0.3333333333333333,1,2,2,0,0,39108,0,0,0,benign
SESSION-00189,3,2,0.3333333333333333,1,2,2,0,0,31627,0,0,0,benign
SESSION-00190,6,5,0.16666666666666666,2,4,3,1,2,231847,3,3,1,attack
SESSION-00191,3,2,0.3333333333333333,1,2,2,1,0,4258,0,0,0,benign
SESSION-00192,4,3,0.25,1,3,3,1,0,17502,0,0,0,attack
SESSION-00193,4,3,0.25,1,3,3,0,0,21691,0,0,0,benign
SESSION-00194,6,5,0.16666666666666666,2,4,3,1,2,717564,3,3,1,attack
SESSION-00195,7,6,0.14285714285714285,2,4,3,1,2,129633,3,3,1,attack
SESSION-00196,6,5,0.16666666666666666,2,4,3,1,2,317794,3,3,1,benign
SESSION-00197,6,5,0.16666666666666666,2,4,3,1,2,171897,3,3,1,attack
SESSION-00198,3,2,0.3333333333333333,2,1,2,0,0,51176,0,0,0,benign
SESSION-00199,6,5,0.16666666666666666,2,4,3,1,2,569920,3,3,1,attack
SESSION-00200,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00201,6,5,0.16666666666666666,2,4,3,1,2,485709,3,3,1,benign
SESSION-00202,3,2,0.3333333333333333,2,1,2,0,0,22098,0,0,0,attack
SESSION-00203,7,6,0.14285714285714285,2,4,3,1,2,193328,3,3,1,attack
SESSION-00204,6,5,0.16666666666666666,2,4,3,1,2,469911,3,3,1,attack
SESSION-00205,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00206,3,2,0.3333333333333333,2,1,2,0,0,12252,0,0,0,benign
SESSION-00207,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00208,3,2,0.3333333333333333,2,1,2,0,0,7005,0,0,0,benign
SESSION-00209,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00210,7,6,0.14285714285714285,2,4,3,1,2,601283,3,3,1,attack
SESSION-00211,7,6,0.14285714285714285,2,4,3,1,2,340461,3,3,1,attack
SESSION-00212,6,5,0.16666666666666666,2,4,3,1,2,773095,3,3,1,attack
SESSION-00213,4,3,0.25,1,3,3,0,0,11320,0,0,0,benign
SESSION-00214,7,6,0.14285714285714285,2,4,3,1,2,566941,3,3,1,attack
SESSION-00215,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00216,3,2,0.3333333333333333,1,2,2,1,0,26455,0,0,0,benign
SESSION-00217,4,3,0.25,1,3,3,1,0,12420,0,0,0,benign
SESSION-00218,7,6,0.14285714285714285,2,4,3,1,2,589869,3,3,1,attack
SESSION-00219,3,2,0.3333333333333333,1,2,2,1,0,3144,0,0,0,benign
SESSION-00220,6,5,0.16666666666666666,2,4,3,1,2,768005,3,3,1,attack
SESSION-00221,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00222,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00223,3,2,0.3333333333333333,1,2,2,0,0,61385,0,0,0,benign
SESSION-00224,3,2,0.3333333333333333,1,2,2,1,0,61186,0,0,0,benign
SESSION-00225,3,2,0.3333333333333333,1,2,2,1,0,31534,0,0,0,benign
SESSION-00226,6,5,0.16666666666666666,2,4,3,1,2,202486,3,3,1,attack
SESSION-00227,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00228,3,2,0.3333333333333333,2,1,2,0,0,28019,0,0,0,benign
SESSION-00229,4,3,0.25,2,2,2,0,0,61834,0,0,0,benign
SESSION-00230,4,3,0.25,2,2,2,0,0,56255,0,0,0,benign
SESSION-00231,7,6,0.14285714285714285,2,4,3,1,2,734439,3,3,1,attack
SESSION-00232,3,2,0.3333333333333333,2,1,2,0,0,47316,0,0,0,benign
SESSION-00233,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00234,3,2,0.3333333333333333,1,2,2,0,0,38274,0,0,0,benign
SESSION-00235,7,6,0.14285714285714285,2,4,3,1,2,847012,3,3,1,attack
SESSION-00236,7,6,0.14285714285714285,2,4,3,1,2,332392,3,3,1,attack
SESSION-00237,3,2,0.3333333333333333,1,2,2,0,0,14486,0,0,0,benign
SESSION-00238,4,3,0.25,1,3,3,1,0,32117,0,0,0,benign
SESSION-00239,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00240,6,5,0.16666666666666666,2,4,3,1,2,153669,3,3,1,attack
SESSION-00241,4,3,0.25,2,2,2,0,0,16743,0,0,0,benign
SESSION-00242,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00243,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00244,6,5,0.16666666666666666,2,4,3,1,2,861459,3,3,1,attack
SESSION-00245,6,5,0.16666666666666666,2,4,3,1,2,689228,3,3,1,attack
SESSION-00246,7,6,0.14285714285714285,2,4,3,1,2,585740,3,3,1,attack
SESSION-00247,4,3,0.25,2,2,2,0,0,48313,0,0,0,benign
SESSION-00248,3,2,0.3333333333333333,1,2,2,1,0,49880,0,0,0,benign
SESSION-00249,6,5,0.16666666666666666,2,4,3,1,2,414951,3,3,1,attack
SESSION-00250,6,5,0.16666666666666666,2,4,3,1,2,178937,3,3,1,attack
SESSION-00251,7,6,0.14285714285714285,2,4,3,1,2,130410,3,3,1,attack
SESSION-00252,4,3,0.25,2,2,2,0,0,38181,0,0,0,benign
SESSION-00253,4,3,0.25,2,2,2,0,0,22984,0,0,0,benign
SESSION-00254,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00255,3,2,0.3333333333333333,2,1,2,0,0,35373,0,0,0,benign
SESSION-00256,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00257,3,2,0.3333333333333333,1,2,2,1,0,11242,0,0,0,benign
SESSION-00258,7,6,0.14285714285714285,2,4,3,1,2,214133,3,3,1,attack
SESSION-00259,6,5,0.16666666666666666,2,4,3,1,2,81362,3,3,1,attack
SESSION-00260,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00261,6,5,0.16666666666666666,2,4,3,1,2,196893,3,3,1,attack
SESSION-00262,4,3,0.25,2,2,2,0,0,54210,0,0,0,benign
SESSION-00263,6,5,0.16666666666666666,2,4,3,1,2,834946,3,3,1,attack
SESSION-00264,4,3,0.25,1,3,3,0,0,51999,0,0,0,benign
SESSION-00265,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00266,3,2,0.3333333333333333,1,2,2,0,0,57322,0,0,0,benign
SESSION-00267,6,5,0.16666666666666666,2,4,3,1,2,130891,3,3,1,attack
SESSION-00268,3,2,0.3333333333333333,1,2,2,0,0,22106,0,0,0,benign
SESSION-00269,3,2,0.3333333333333333,1,2,2,0,0,39780,0,0,0,benign
SESSION-00270,3,2,0.3333333333333333,2,1,2,0,0,13165,0,0,0,benign
SESSION-00271,6,5,0.16666666666666666,2,4,3,1,2,890136,3,3,1,benign
SESSION-00272,3,2,0.3333333333333333,2,1,2,0,0,30530,0,0,0,benign
SESSION-00273,3,2,0.3333333333333333,2,1,2,0,0,47013,0,0,0,benign
SESSION-00274,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00275,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00276,4,3,0.25,2,2,2,0,0,31255,0,0,0,benign
SESSION-00277,6,5,0.16666666666666666,2,4,3,1,2,440841,3,3,1,attack
SESSION-00278,7,6,0.14285714285714285,2,4,3,1,2,807628,3,3,1,benign
SESSION-00279,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00280,4,3,0.25,2,2,2,0,0,19334,0,0,0,benign
SESSION-00281,7,6,0.14285714285714285,2,4,3,1,2,829798,3,3,1,attack
SESSION-00282,3,2,0.3333333333333333,2,1,2,0,0,50453,0,0,0,benign
SESSION-00283,7,6,0.14285714285714285,2,4,3,1,2,861396,3,3,1,attack
SESSION-00284,4,3,0.25,2,2,2,0,0,45181,0,0,0,benign
SESSION-00285,3,2,0.3333333333333333,2,1,2,0,0,40444,0,0,0,benign
SESSION-00286,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00287,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00288,6,5,0.16666666666666666,2,4,3,1,2,862651,3,3,1,attack
SESSION-00289,3,2,0.3333333333333333,2,1,2,0,0,64794,0,0,0,benign
SESSION-00290,3,2,0.3333333333333333,1,2,2,0,0,46089,0,0,0,benign
SESSION-00291,6,5,0.16666666666666666,2,4,3,1,2,276985,3,3,1,attack
SESSION-00292,3,2,0.3333333333333333,1,2,2,0,0,53411,0,0,0,benign
SESSION-00293,3,2,0.3333333333333333,1,2,2,1,0,23176,0,0,0,attack
SESSION-00294,4,3,0.25,1,3,3,0,0,50783,0,0,0,benign
SESSION-00295,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00296,3,2,0.3333333333333333,1,2,2,1,0,57297,0,0,0,benign
SESSION-00297,6,5,0.16666666666666666,2,4,3,1,2,844978,3,3,1,attack
SESSION-00298,7,6,0.14285714285714285,2,4,3,1,2,263354,3,3,1,attack
SESSION-00299,3,2,0.3333333333333333,1,2,2,0,0,11810,0,0,0,benign
SESSION-00300,3,2,0.3333333333333333,2,1,2,0,0,52177,0,0,0,benign
SESSION-00301,3,2,0.3333333333333333,1,2,2,0,0,8676,0,0,0,benign
SESSION-00302,3,2,0.3333333333333333,1,2,2,1,0,20709,0,0,0,benign
SESSION-00303,7,6,0.14285714285714285,2,4,3,1,2,458191,3,3,1,attack
SESSION-00304,3,2,0.3333333333333333,2,1,2,0,0,53737,0,0,0,benign
SESSION-00305,3,2,0.3333333333333333,1,2,2,0,0,52487,0,0,0,benign
SESSION-00306,4,3,0.25,2,2,2,0,0,57381,0,0,0,benign
SESSION-00307,7,6,0.14285714285714285,2,4,3,1,2,310068,3,3,1,attack
SESSION-00308,6,5,0.16666666666666666,2,4,3,1,2,135365,3,3,1,attack
SESSION-00309,7,6,0.14285714285714285,2,4,3,1,2,692320,3,3,1,attack
SESSION-00310,6,5,0.16666666666666666,2,4,3,1,2,754964,3,3,1,attack
SESSION-00311,3,2,0.3333333333333333,1,2,2,1,0,7843,0,0,0,benign
SESSION-00312,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00313,4,3,0.25,1,3,3,0,0,21477,0,0,0,benign
SESSION-00314,7,6,0.14285714285714285,2,4,3,1,2,381681,3,3,1,attack
SESSION-00315,6,5,0.16666666666666666,2,4,3,1,2,213073,3,3,1,attack
SESSION-00316,3,2,0.3333333333333333,1,2,2,1,0,55783,0,0,0,benign
SESSION-00317,3,2,0.3333333333333333,1,2,2,1,0,13569,0,0,0,benign
SESSION-00318,3,2,0.3333333333333333,2,1,2,0,0,40880,0,0,0,benign
SESSION-00319,6,5,0.16666666666666666,2,4,3,1,2,261054,3,3,1,attack
SESSION-00320,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00321,6,5,0.16666666666666666,2,4,3,1,2,662636,3,3,1,attack
SESSION-00322,6,5,0.16666666666666666,2,4,3,1,2,292029,3,3,1,attack
SESSION-00323,3,2,0.3333333333333333,1,2,2,0,0,49539,0,0,0,benign
SESSION-00324,3,2,0.3333333333333333,1,2,2,0,0,0,0,0,0,benign
SESSION-00325,3,2,0.3333333333333333,1,2,2,1,0,15373,0,0,0,attack
SESSION-00326,3,2,0.3333333333333333,2,1,2,0,0,58086,0,0,0,benign
SESSION-00327,4,3,0.25,2,2,2,0,0,5747,0,0,0,benign
SESSION-00328,4,3,0.25,1,3,2,0,0,0,0,0,0,benign
SESSION-00329,7,6,0.14285714285714285,2,4,3,1,2,637212,3,3,1,attack
SESSION-00330,7,6,0.14285714285714285,2,4,3,1,2,614266,3,3,1,attack
SESSION-00331,7,6,0.14285714285714285,2,4,3,1,2,785431,3,3,1,benign
