session_id,step,source,target,event_type,bytes_out,is_external,encoded_command,label
SESSION-00010,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00010,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00010,3,document.pdf,cache.tmp,file,0,0,0,benign
SESSION-00011,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00011,2,python.exe,local_database,network,44198,0,0,benign
SESSION-00012,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00012,2,browser.exe,trusted_api,network,21679,1,0,benign
SESSION-00013,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00013,2,backup.exe,backup_server,network,20164,0,0,benign
SESSION-00014,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00014,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00014,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00014,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00014,5,curl.exe,external_host,network,740017,1,0,attack
SESSION-00015,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00015,2,browser.exe,trusted_api,network,19458,1,0,benign
SESSION-00016,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00016,2,browser.exe,company_portal,network,17465,0,0,benign
SESSION-00017,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00017,2,browser.exe,trusted_api,network,6989,1,0,benign
SESSION-00018,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00018,2,browser.exe,company_portal,network,52079,0,0,benign
SESSION-00018,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00019,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00019,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00020,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00020,2,backup.exe,backup_server,network,5673,0,0,benign
SESSION-00020,3,backup_server,cache.tmp,file,0,0,0,benign
SESSION-00021,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00021,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00021,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00021,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00021,5,curl.exe,external_host,network,183550,1,0,attack
SESSION-00022,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00022,2,python.exe,local_database,network,28331,0,0,benign
SESSION-00022,3,local_database,cache.tmp,file,0,0,0,benign
SESSION-00023,1,backup.exe,archive.zip,file,0,0,0,attack
SESSION-00023,2,backup.exe,backup_server,network,50607,0,0,attack
SESSION-00024,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00024,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00024,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00024,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00024,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00024,6,curl.exe,external_host,network,672334,1,0,attack
SESSION-00025,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00025,2,browser.exe,trusted_api,network,26004,1,0,benign
SESSION-00025,3,trusted_api,cache.tmp,file,0,0,0,benign
SESSION-00026,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00026,2,backup.exe,backup_server,network,7521,0,0,benign
SESSION-00026,3,backup_server,cache.tmp,file,0,0,0,benign
SESSION-00027,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00027,2,python.exe,local_database,network,46081,0,0,benign
SESSION-00027,3,local_database,cache.tmp,file,0,0,0,benign
SESSION-00028,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00028,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00029,1,teams.exe,browser.exe,process,0,0,0,attack
SESSION-00029,2,browser.exe,company_portal,network,30162,0,0,attack
SESSION-00030,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00030,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00030,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00030,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00030,5,curl.exe,external_host,network,820133,1,0,attack
SESSION-00031,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00031,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00031,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00031,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00031,5,curl.exe,external_host,network,96009,1,0,attack
SESSION-00032,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00032,2,browser.exe,company_portal,network,10834,0,0,benign
SESSION-00033,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00033,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00033,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00033,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00033,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00033,6,curl.exe,external_host,network,558960,1,0,attack
SESSION-00034,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00034,2,browser.exe,company_portal,network,11105,0,0,benign
SESSION-00034,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00035,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00035,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00036,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00036,2,backup.exe,backup_server,network,20569,0,0,benign
SESSION-00037,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00037,2,browser.exe,trusted_api,network,6092,1,0,benign
SESSION-00038,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00038,2,browser.exe,trusted_api,network,12144,1,0,benign
SESSION-00039,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00039,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00039,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00039,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00039,5,curl.exe,external_host,network,548817,1,0,attack
SESSION-00040,1,outlook.exe,powershell.exe,process,0,0,1,benign
SESSION-00040,2,powershell.exe,payload.tmp,file,0,0,1,benign
SESSION-00040,3,powershell.exe,rundll32.exe,process,0,0,0,benign
SESSION-00040,4,rundll32.exe,curl.exe,process,0,0,0,benign
SESSION-00040,5,curl.exe,external_host,network,378216,1,0,benign
SESSION-00041,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00041,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00041,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00041,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00041,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00041,6,curl.exe,external_host,network,757559,1,0,attack
SESSION-00042,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00042,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00043,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00043,2,browser.exe,company_portal,network,40722,0,0,benign
SESSION-00043,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00044,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00044,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00044,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00044,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00044,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00044,6,curl.exe,external_host,network,831129,1,0,attack
SESSION-00045,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00045,2,backup.exe,backup_server,network,21979,0,0,benign
SESSION-00046,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00046,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00046,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00046,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00046,5,curl.exe,external_host,network,822536,1,0,attack
SESSION-00047,1,outlook.exe,pdf_reader.exe,process,0,0,0,attack
SESSION-00047,2,pdf_reader.exe,document.pdf,file,0,0,0,attack
SESSION-00048,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00048,2,browser.exe,trusted_api,network,49162,1,0,benign
SESSION-00049,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00049,2,python.exe,local_database,network,21903,0,0,benign
SESSION-00050,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00050,2,backup.exe,backup_server,network,7951,0,0,benign
SESSION-00051,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00051,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00051,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00051,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00051,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00051,6,curl.exe,external_host,network,857139,1,0,attack
SESSION-00052,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00052,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00052,3,document.pdf,cache.tmp,file,0,0,0,benign
SESSION-00053,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00053,2,browser.exe,trusted_api,network,14375,1,0,benign
SESSION-00053,3,trusted_api,cache.tmp,file,0,0,0,benign
SESSION-00054,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00054,2,python.exe,local_database,network,33546,0,0,benign
SESSION-00054,3,local_database,cache.tmp,file,0,0,0,benign
SESSION-00055,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00055,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00055,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00055,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00055,5,curl.exe,external_host,network,309023,1,0,attack
SESSION-00056,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00056,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00056,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00056,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00056,5,curl.exe,external_host,network,188094,1,0,attack
SESSION-00057,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00057,2,backup.exe,backup_server,network,52659,0,0,benign
SESSION-00058,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00058,2,python.exe,local_database,network,9796,0,0,benign
SESSION-00059,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00059,2,browser.exe,trusted_api,network,32780,1,0,benign
SESSION-00060,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00060,2,backup.exe,backup_server,network,60262,0,0,benign
SESSION-00060,3,backup_server,cache.tmp,file,0,0,0,benign
SESSION-00061,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00061,2,backup.exe,backup_server,network,8671,0,0,benign
SESSION-00061,3,backup_server,cache.tmp,file,0,0,0,benign
SESSION-00062,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00062,2,browser.exe,trusted_api,network,39550,1,0,benign
SESSION-00063,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00063,2,browser.exe,company_portal,network,51440,0,0,benign
SESSION-00063,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00064,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00064,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00064,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00064,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00064,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00064,6,curl.exe,external_host,network,285420,1,0,attack
SESSION-00065,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00065,2,browser.exe,company_portal,network,60793,0,0,benign
SESSION-00066,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00066,2,backup.exe,backup_server,network,60367,0,0,benign
SESSION-00067,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00067,2,python.exe,local_database,network,35454,0,0,benign
SESSION-00067,3,local_database,cache.tmp,file,0,0,0,benign
SESSION-00068,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00068,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00068,3,document.pdf,cache.tmp,file,0,0,0,benign
SESSION-00069,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00069,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00069,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00069,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00069,5,curl.exe,external_host,network,373446,1,0,attack
SESSION-00070,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00070,2,browser.exe,trusted_api,network,59661,1,0,benign
SESSION-00070,3,trusted_api,cache.tmp,file,0,0,0,benign
SESSION-00071,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00071,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00071,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00071,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00071,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00071,6,curl.exe,external_host,network,835195,1,0,attack
SESSION-00072,1,explorer.exe,browser.exe,process,0,0,0,attack
SESSION-00072,2,browser.exe,trusted_api,network,13002,1,0,attack
SESSION-00072,3,trusted_api,cache.tmp,file,0,0,0,attack
SESSION-00073,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00073,2,backup.exe,backup_server,network,26798,0,0,benign
SESSION-00073,3,backup_server,cache.tmp,file,0,0,0,benign
SESSION-00074,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00074,2,browser.exe,company_portal,network,55621,0,0,benign
SESSION-00074,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00075,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00075,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00075,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00075,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00075,5,curl.exe,external_host,network,267017,1,0,attack
SESSION-00076,1,outlook.exe,powershell.exe,process,0,0,1,benign
SESSION-00076,2,powershell.exe,payload.tmp,file,0,0,1,benign
SESSION-00076,3,powershell.exe,rundll32.exe,process,0,0,0,benign
SESSION-00076,4,rundll32.exe,credential_store,file,0,0,0,benign
SESSION-00076,5,rundll32.exe,curl.exe,process,0,0,0,benign
SESSION-00076,6,curl.exe,external_host,network,284497,1,0,benign
SESSION-00077,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00077,2,browser.exe,trusted_api,network,54507,1,0,benign
SESSION-00077,3,trusted_api,cache.tmp,file,0,0,0,benign
SESSION-00078,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00078,2,backup.exe,backup_server,network,55145,0,0,benign
SESSION-00079,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00079,2,python.exe,local_database,network,51107,0,0,benign
SESSION-00080,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00080,2,backup.exe,backup_server,network,35772,0,0,benign
SESSION-00081,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00081,2,browser.exe,company_portal,network,26260,0,0,benign
SESSION-00082,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00082,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00082,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00082,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00082,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00082,6,curl.exe,external_host,network,435567,1,0,attack
SESSION-00083,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00083,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00083,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00083,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00083,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00083,6,curl.exe,external_host,network,471859,1,0,attack
SESSION-00084,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00084,2,browser.exe,trusted_api,network,45201,1,0,benign
SESSION-00084,3,trusted_api,cache.tmp,file,0,0,0,benign
SESSION-00085,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00085,2,backup.exe,backup_server,network,32297,0,0,benign
SESSION-00085,3,backup_server,cache.tmp,file,0,0,0,benign
SESSION-00086,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00086,2,python.exe,local_database,network,43113,0,0,benign
SESSION-00087,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00087,2,browser.exe,trusted_api,network,20153,1,0,benign
SESSION-00088,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00088,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00088,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00088,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00088,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00088,6,curl.exe,external_host,network,492710,1,0,attack
SESSION-00089,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00089,2,backup.exe,backup_server,network,41177,0,0,benign
SESSION-00089,3,backup_server,cache.tmp,file,0,0,0,benign
SESSION-00090,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00090,2,browser.exe,company_portal,network,62476,0,0,benign
SESSION-00091,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00091,2,backup.exe,backup_server,network,64789,0,0,benign
SESSION-00092,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00092,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00092,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00092,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00092,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00092,6,curl.exe,external_host,network,731994,1,0,attack
SESSION-00093,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00093,2,browser.exe,trusted_api,network,37591,1,0,benign
SESSION-00094,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00094,2,browser.exe,company_portal,network,50127,0,0,benign
SESSION-00095,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00095,2,browser.exe,trusted_api,network,60667,1,0,benign
SESSION-00095,3,trusted_api,cache.tmp,file,0,0,0,benign
SESSION-00096,1,python.exe,analysis.csv,file,0,0,0,attack
SESSION-00096,2,python.exe,local_database,network,43445,0,0,attack
SESSION-00097,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00097,2,browser.exe,company_portal,network,23019,0,0,benign
SESSION-00098,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00098,2,browser.exe,company_portal,network,24944,0,0,benign
SESSION-00098,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00099,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00099,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00099,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00099,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00099,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00099,6,curl.exe,external_host,network,150732,1,0,attack
SESSION-00100,1,backup.exe,archive.zip,file,0,0,0,benign
SESSION-00100,2,backup.exe,backup_server,network,13087,0,0,benign
SESSION-00101,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00101,2,python.exe,local_database,network,10815,0,0,benign
SESSION-00102,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00102,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00102,3,document.pdf,cache.tmp,file,0,0,0,benign
SESSION-00103,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00103,2,browser.exe,trusted_api,network,9681,1,0,benign
SESSION-00104,1,outlook.exe,powershell.exe,process,0,0,1,benign
SESSION-00104,2,powershell.exe,payload.tmp,file,0,0,1,benign
SESSION-00104,3,powershell.exe,rundll32.exe,process,0,0,0,benign
SESSION-00104,4,rundll32.exe,curl.exe,process,0,0,0,benign
SESSION-00104,5,curl.exe,external_host,network,158455,1,0,benign
SESSION-00105,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00105,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00105,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00105,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00105,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00105,6,curl.exe,external_host,network,452540,1,0,attack
SESSION-00106,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00106,2,browser.exe,company_portal,network,51221,0,0,benign
SESSION-00106,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00107,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00107,2,browser.exe,company_portal,network,19886,0,0,benign
SESSION-00108,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00108,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00108,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00108,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00108,5,curl.exe,external_host,network,99652,1,0,attack
SESSION-00109,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00109,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00109,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00109,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00109,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00109,6,curl.exe,external_host,network,625861,1,0,attack
SESSION-00110,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00110,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00110,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00110,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00110,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00110,6,curl.exe,external_host,network,780564,1,0,attack
SESSION-00111,1,teams.exe,browser.exe,process,0,0,0,benign
SESSION-00111,2,browser.exe,company_portal,network,59294,0,0,benign
SESSION-00111,3,company_portal,cache.tmp,file,0,0,0,benign
SESSION-00112,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00112,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00112,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00112,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00112,5,curl.exe,external_host,network,109653,1,0,attack
SESSION-00113,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00113,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00113,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00113,4,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00113,5,curl.exe,external_host,network,280803,1,0,attack
SESSION-00114,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00114,2,browser.exe,trusted_api,network,55306,1,0,benign
SESSION-00115,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00115,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00115,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00115,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00115,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00115,6,curl.exe,external_host,network,652459,1,0,attack
SESSION-00116,1,python.exe,analysis.csv,file,0,0,0,benign
SESSION-00116,2,python.exe,local_database,network,41690,0,0,benign
SESSION-00117,1,outlook.exe,powershell.exe,process,0,0,1,attack
SESSION-00117,2,powershell.exe,payload.tmp,file,0,0,1,attack
SESSION-00117,3,powershell.exe,rundll32.exe,process,0,0,0,attack
SESSION-00117,4,rundll32.exe,credential_store,file,0,0,0,attack
SESSION-00117,5,rundll32.exe,curl.exe,process,0,0,0,attack
SESSION-00117,6,curl.exe,external_host,network,123481,1,0,attack
SESSION-00118,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00118,2,browser.exe,trusted_api,network,49213,1,0,benign
SESSION-00118,3,trusted_api,cache.tmp,file,0,0,0,benign
SESSION-00119,1,outlook.exe,powershell.exe,process,0,0,1,benign
SESSION-00119,2,powershell.exe,payload.tmp,file,0,0,1,benign
SESSION-00119,3,powershell.exe,rundll32.exe,process,0,0,0,benign
SESSION-00119,4,rundll32.exe,curl.exe,process,0,0,0,benign
SESSION-00119,5,curl.exe,external_host,network,581465,1,0,benign
SESSION-00120,1,outlook.exe,pdf_reader.exe,process,0,0,0,benign
SESSION-00120,2,pdf_reader.exe,document.pdf,file,0,0,0,benign
SESSION-00120,3,document.pdf,cache.tmp,file,0,0,0,benign
SESSION-00121,1,explorer.exe,browser.exe,process,0,0,0,benign
SESSION-00121,2,browser.exe,trusted_api,network,36209,1,0,benign
